#     Row        sigBg  FirstLaye  LastLayer      NHits  AverageZP     Thrust  PID_Angle  PID_Front  PID_LLR_M  FirstLaye  LastLayer  NHits_Low  AverageZP  Thrust_Lo  PID_Angle  PID_Front  PID_LLR_M  Energy_As  Angle_Bet  Distance_ 
# 
4.000000000000000000e+01 -9.990000000000000000e+02 3.000000000000000000e+00 3.100000000000000000e+01 1.800000000000000000e+01 2.987783399999999801e+03 9.526407000000000069e-01 3.403309200000000345e+01 5.204280000000000017e-02 3.098023200000000088e+01 3.000000000000000000e+00 3.100000000000000000e+01 1.100000000000000000e+01 1.759636299999999892e+03 9.838801000000000352e-01 3.403309200000000345e+01 5.204280000000000017e-02 2.018224899999999877e+01 4.177184999999999926e-01 1.750998099999999891e+00 1.536297399999999925e+03
4.100000000000000000e+01 -9.990000000000000000e+02 1.100000000000000000e+01 1.900000000000000000e+01 8.000000000000000000e+00 2.323500000000000000e+03 9.671781000000000406e-01 1.090731800000000007e+01 3.164040500000000122e+01 2.985864400000000174e+01 2.100000000000000000e+01 3.100000000000000000e+01 1.200000000000000000e+01 1.902666600000000017e+03 9.490866999999999498e-01 1.090731800000000007e+01 3.164040500000000122e+01 3.042811499999999825e+01 1.393505999999999911e-01 7.291845000000000132e-01 5.471032800000000407e+02
4.200000000000000000e+01 -9.990000000000000000e+02 5.000000000000000000e+00 3.400000000000000000e+01 5.800000000000000000e+01 3.148413799999999810e+03 9.021466000000000207e-01 1.426039699999999932e+01 1.484140200000000043e+01 5.042576199999999886e+01 2.700000000000000000e+01 3.400000000000000000e+01 1.000000000000000000e+01 3.226539999999999964e+03 9.851716000000000362e-01 1.426039699999999932e+01 1.484140200000000043e+01 6.080421399999999643e+00 4.889987000000000084e-01 6.622573000000000487e-01 5.029245900000000233e+02
4.300000000000000000e+01 -9.990000000000000000e+02 3.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000000e+00 1.966000000000000000e+03 9.800421999999999745e-01 6.869715800000000172e+01 5.012972599999999801e+01 1.622573600000000127e+01 1.600000000000000000e+01 3.100000000000000000e+01 1.100000000000000000e+01 1.568727200000000039e+03 9.690994000000000552e-01 6.869715800000000172e+01 5.012972599999999801e+01 2.170549199999999956e+01 4.510324000000000000e-01 1.499385699999999932e+00 8.170359300000000076e+02
4.400000000000000000e+01 -9.990000000000000000e+02 9.000000000000000000e+00 3.100000000000000000e+01 3.200000000000000000e+01 1.940375000000000000e+03 9.639368000000000380e-01 6.565041300000000035e+01 1.399821399999999993e+00 -2.769947999999999855e+00 4.000000000000000000e+00 2.100000000000000000e+01 1.000000000000000000e+01 2.202000000000000000e+03 9.777234000000000202e-01 6.565041300000000035e+01 1.399821399999999993e+00 2.314848299999999881e+01 7.012142999999999571e-01 5.959767000000000259e-01 4.371652599999999893e+02
4.500000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+01 1.700000000000000000e+01 6.430588299999999435e+02 8.769360999999999962e-01 6.914981000000000222e+01 1.221088300000000082e+01 1.875024900000000017e+01 1.800000000000000000e+01 1.900000000000000000e+01 5.000000000000000000e+00 1.016000000000000000e+03 9.985287999999999942e-01 6.914981000000000222e+01 1.221088300000000082e+01 -3.929689999999999905e+00 9.019390999999999936e-01 1.469524100000000111e+00 2.028885300000000029e+02
4.600000000000000000e+01 -9.990000000000000000e+02 2.000000000000000000e+00 3.000000000000000000e+01 2.100000000000000000e+01 1.295047600000000102e+03 9.902625000000000455e-01 4.963099600000000322e+01 4.973390899999999704e+01 3.461139599999999916e+01 7.000000000000000000e+00 3.000000000000000000e+01 1.500000000000000000e+01 1.221333300000000008e+03 9.687447999999999615e-01 4.963099600000000322e+01 4.973390899999999704e+01 3.116218500000000091e+01 4.361092999999999775e-01 3.174833000000000238e-01 2.361389599999999973e+02
4.700000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+01 1.900000000000000000e+01 6.138947100000000319e+02 8.913828000000000307e-01 6.300417999999999807e+01 3.725590000000000152e-02 2.791538399999999953e+01 2.000000000000000000e+00 7.000000000000000000e+00 4.000000000000000000e+00 8.710000000000000000e+02 9.972742999999999469e-01 6.300417999999999807e+01 3.725590000000000152e-02 2.514358999999999966e+01 8.540841000000000127e-01 4.662329000000000057e-01 2.459047400000000039e+02
4.800000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 3.100000000000000000e+01 4.900000000000000000e+01 1.967836700000000064e+03 9.894834000000000129e-01 4.417661999999999978e+01 3.590860300000000116e+00 3.071607500000000002e+01 1.000000000000000000e+00 3.000000000000000000e+00 6.000000000000000000e+00 2.222666700000000219e+03 9.195396000000000125e-01 4.417661999999999978e+01 3.590860300000000116e+00 -1.488931999999999967e+01 7.598840000000000039e-01 1.470322200000000024e+00 1.401589600000000019e+03
4.900000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 2.900000000000000000e+01 2.200000000000000000e+01 1.709636299999999892e+03 9.492116999999999916e-01 1.249462399999999995e+01 7.616743999999999737e+00 3.196599499999999949e+01 4.000000000000000000e+00 7.000000000000000000e+00 5.000000000000000000e+00 2.072000000000000000e+03 6.787511000000000516e-01 1.249462399999999995e+01 7.616743999999999737e+00 2.801657899999999923e+00 6.015918000000000099e-01 1.651515700000000031e+00 7.345015700000000152e+02
